2019-03-22 10:12:20,354 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-03-22 10:12:22,396 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\hechen\.dubbo\dubbo-registry-dubbo-admin-192.168.13.131:2181.cache, data: {*/service.IUserService:*=empty://172.30.61.51/service.IUserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=* empty://172.30.61.51/service.IUserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=* empty://172.30.61.51/service.IUserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=* empty://172.30.61.51/service.IUserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=*, */service.UserService:*=empty://172.30.61.51/service.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=* empty://172.30.61.51/service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=* empty://172.30.61.51/service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=* empty://172.30.61.51/service.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=*}, dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:22,490 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://192.168.13.131:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=13008&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Cunsubscribe%2Csubscribe%2Cunregister%2Cregister%26pid%3D13008%26register.ip%3D172.30.61.51%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1553220742358&timestamp=1553220742377, dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:22,502 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:22,503 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://172.30.61.51?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:22,529 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://172.30.61.51/service.IUserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=*, dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:22,542 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://172.30.61.51/service.IUserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=*, urls: [empty://172.30.61.51/service.IUserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=*, empty://172.30.61.51/service.IUserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=*, empty://172.30.61.51/service.IUserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=*, empty://172.30.61.51/service.IUserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=service.IUserService&version=*], dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:22,543 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://172.30.61.51/service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=*, dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:22,555 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://172.30.61.51/service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=*, urls: [empty://172.30.61.51/service.UserService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=*, empty://172.30.61.51/service.UserService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=*, empty://172.30.61.51/service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=*, empty://172.30.61.51/service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=service.UserService&version=*], dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:23,245 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 172.30.61.51
2019-03-22 10:12:26,657 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 172.30.61.51
